('MD57', '200009131252')
('CD13', '20001101615')
('GE00', '20001101615')
('OL23', '20000827914')
('PS56', '200010191630')
('SYR', '200010242008')
('CO82', '20000904749')
('W48', '200009222043')
('SBY', '200010101215')
('JY11', '200011111300')
('FXE', '200011191737')
('5NK4', '20001118940')
('SLC', '20001106400')
('BCV', '200011011230')
('FAT', '200011011230')
('OMA', '200010101925')
('7LA2', '200010151715')
('1MS5', '200010071945')
('EIK', '200009271430')
('FRG', '200009271430')
('DUT', '200009251845')
('90WA', '200009151105')
('HLM', '200009071130')
('GA65', '200009071130')
('C89', '200009071130')
('MBL', '200011111515')
('50OH', '200011111515')
('EKY', '200009091335')
('B18', '200008281930')
('0R4', '200010051430')
('SKY', '200009061000')
('MD12', '200009061000')
('3FL8', '20001101209')
('3R4', '20001101209')
('9NY7', '20001101209')
('PPA', '200009261753')
('9GA0', '200009291310')
('MU56', '200009121830')
('46NC', '20000920620')
('3SD3', '20000920620')
('96TX', '20000920620')
('59PA', '20000920620')
('FD31', '20000920800')
('TKA', '200009141910')
('TKA', '200008291535')
('OAK', '20001002900')
('AZ37', '200009181935')
('F34', '200011151050')
('CNU', '200009041245')
('SPS', '200008291701')
('SFF', '200008301730')
('MRY', '200010121715')
('FA17', '200101151945')
('ASE', '200102061604')
('W48', '20010112930')
('IMT', '200102241750')
('22Y', '200103071310')
('1JY5', '200103062200')
('CT86', '200012071015')
('FL55', '200012271630')
('EKY', '200012191500')
('UMM', '200011231704')
('EVY', '200101152045')
('VA55', '200101152045')
('Z41', '200101241300')
('GCT', '200101241300')
('CSG', '200101241300')
('CL95', '200101241300')
('DCA', '20010207830')
('CBF', '20010223845')
('N07', '200012031430')
('LVS', '20001130930')
('CPS', '200011291630')
('LNY', '200102011630')
('GON', '200011272243')
('PIE', '200102131700')
('86LA', '20010214445')
('LHD', '200102171130')
('L67', '200101011400')
('OCH', '2001021845')
('FTG', '200102021710')
('LL13', '200102021710')
('RVS', '200102021710')
('1AZ0', '200102021710')
('F70', '200012151235')
('CO82', '200103081630')
('X21', '200012301100')
('MU41', '200012091651')
('20V', '20001220928')
('MU41', '200101101445')
('KLG', '20010108700')
('06U', '20010312731')
('42A', '20010217900')
('JEF', '200011231735')
('TCY', '200102221500')
('TKC', '200103022050')
('BTF', '200012111930')
('UUO', '20001210448')
('OAK', '200103131845')
('FRG', '200102131840')
('PIA', '200103101630')
('9LA6', '200103101630')
('3MD9', '200103111250')
('BOS', '200103111800')
('MU41', '200103111800')
('53IN', '200103111800')
('MU41', '200103111800')
('FFT', '200103081430')
('LAN', '200103081530')
('CXY', '200102171230')
('JGG', '200102131330')
('EUF', '200103122335')
('ID52', '200102081225')
('LOU', '200102091115')
('B10', '200012181530')
('3U3', '200101292029')
('63OI', '200101291700')
('AZ67', '200012121612')
('52OK', '20001214930')
('VVS', '200012112223')
('LA05', '200011191655')
('TEW', '200012041910')
('FRH', '200103031422')
('MVY', '20001228540')
('47N', '200012171400')
('AUG', '200101232135')
('IN85', '200103021400')
('40G', '200101181030')
('3OH2', '200012221000')
('MU08', '200101191950')
('21N', '200102011951')
('JY11', '200012221730')
('9AK3', '20001227750')
('IA16', '200101211530')
('PRC', '200103131145')
('FD31', '200101111915')
('CGC', '200101121345')
('2F0', '200012101903')
('SOW', '200101071100')
('5U0', '20001230930')
